label,prediction
2066.129883,2058.016225743577
2045.170044,2058.8577907550166
2066.659912,2047.566873439771
2041.910034,2049.1835847867587
2047.599976,2041.2760030133397
2041.98999,2045.1467402608732
2061.719971,2048.0280051086083
2082.419922,2062.8317160494935
2082.780029,2088.2127913139198
2080.72998,2087.514539790298
2094.340088,2097.2611112924915
2100.800049,2086.189427868903
2102.399902,2112.006335400623
2091.47998,2094.3031955039937
2091.580078,2093.2109554953554
2087.790039,2089.493328077538
2091.699951,2100.9384361947714
2095.149902,2087.7480896118973
2075.810059,2102.7468333515353
2065.300049,2088.6678731081574
2081.429932,2074.1942340949095
2063.370117,2075.147243674988
2051.120117,2064.238442076233
2050.629883,2049.976370035111
2057.139893,2043.7755549074793
2058.689941,2057.175309938742
2084.389893,2050.5075555641506
2064.459961,2080.651448792101
2064.110107,2080.8388113907977
2046.609985,2073.7978928590824
2066.659912,2051.4290431593568
2047.209961,2066.704548613253
2047.630005,2045.5442212165808
2040.040039,2050.238253905234
2052.320068,2041.3692182319646
2048.040039,2042.4542554328402
2076.060059,2050.5097154999057
2090.540039,2065.5507228904244
2090.100098,2087.6009217181113
2099.060059,2090.0954995330685
2096.949951,2096.1876584434167
2099.330078,2082.389618159326
2105.26001,2099.390932923495
2099.129883,2090.1811949973153
2109.409912,2100.964611958696
2112.129883,2096.825720107355
2119.120117,2113.9723018931095
2115.47998,2114.170841173224
2096.070068,2118.03407234151
2079.060059,2101.9304427429042
2075.320068,2097.7581079286037
2071.5,2073.3075993253224
2077.98999,2074.833566381958
2071.219971,2071.454750909447
2083.25,2076.9499961912097
2088.899902,2091.019115721186
2085.449951,2086.2753600949604
2113.320068,2093.259499954222
2037.410034,2117.152211436781
2000.540039,2073.8451465249045
2036.089966,2022.9660392560424
2070.77002,2024.4211752539811
2098.860107,2054.730498341586
2102.949951,2079.448850033615
2088.550049,2086.0377867904353
2099.72998,2105.255760335707
2097.899902,2100.3435240965023
2129.899902,2107.69774730513
2137.159912,2130.133762251932
2152.139893,2122.7050170484963
2152.429932,2129.664690021401
2163.75,2125.9962609046283
2161.73999,2135.2161890195343
2166.889893,2170.7653544720533
2163.780029,2185.6968457703238
2173.02002,2160.671515568799
2165.169922,2165.411718074262
2175.030029,2161.9334674044335
2168.47998,2162.6145139408977
2169.179932,2154.4767116464545
2166.580078,2160.12831108116
2170.060059,2173.4791715664237
2173.600098,2175.4960273551815
2170.840088,2184.447795201358
2157.030029,2187.001728086363
2163.790039,2180.5263715827778
2164.25,2156.784077415178
